Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
1,1,Setting up: Markdown,Watch the 'What is markdown?' video,Beginner,9,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE 
1,1,Setting up: CSV,Complete the 'Understanding CSV Files' challenge,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: Slack,Connect on Slack: https://intechgration.slack.com,Beginner,0-10,TRUE,Say hello to us on Slack!
1,1,Setting up: GitHub,Watched the 'WDX-180 - Setting up: SSH Keys Cloning repo & update progress' video,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: WDX,Fork WDX repository,Beginner,0-10,TRUE,https://github.com/w91183198-ui/WDX-180.git
1,1,Setting up: WDX,Enable GitHub Pages on forked WDX repository,Beginner,0-10,TRUE,https://w91183198-ui.github.io/WDX-180
1,1,Setting up: Code editor,Install VSCode,Beginner,0-10,TRUE,Updated FALSE to TRUE in the COMPLETED column
1,1,Setting up: Code editor,Install VSCode WDX Extension Pack,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: Node,Install Node.js (LTS),Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Setting up: Version Control,Install Git,Beginner,10,TRUE,git version 2.51.0.windows.1
1,1,Setting up: Productivity,Install Wikiwand Browser Extension: https://www.wikiwand.com/,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
1,1,Computing Basics,Complete the 'Decode the secret message' challenge,Beginner,0-10,TRUE,find a hobby for god's sake
1,1,Setting up: GitHub,Watched the 'WDX-180: Keeping our forked repository up-to-date and in-sync with the original repo' video,Beginner,10,TRUE,Update CONFIDENCE column. Change COMPLETED column to TRUE
